Production_ID,Production_Date,Shift,Product_ID,Product_Name,Product_Category,Machine_ID,Operator_ID,Planned_Qty,Produced_Qty,Good_Qty,Rejected_Qty,Production_Hours,Downtime_Hours,Raw_Material_Used_Kg,Wastage_Kg,Defect_Type,Production_Efficiency_%,Defect_Rate_%,Production_Status,Batch_Quality,Product_Quality_Level,Product_Quality_Score,Year,Month,Month_Name,Month_Year
P000023,2024-12-05,Night,NP002,Plastic Mug,Household Utility,M002,E005,468,420,414,6,7.31,1.55,103.45,30.82,Shape Defect,89.74,1.43,Completed,Low,Medium,47.322,2024,12,December,2024-12
P000024,2024-03-15,Night,NP006,Kitchen Container,Kitchen Product,M005,E012,431,441,408,33,5.84,0.36,248.52,16.78,Surface Defect,102.32,7.48,Completed,Low,High,96.056,2024,3,March,2024-03
P000025,2025-06-04,Morning,NP001,Plastic Bucket,Household Utility,M003,E015,683,689,679,10,5.55,1.53,806.54,38.3,Surface Defect,100.88,1.45,Completed,High,High,52.232,2025,6,June,2025-06
P000026,2025-03-21,Morning,NP001,Plastic Bucket,Household Utility,M005,E018,1516,1476,1457,19,5.68,0.55,1808.66,15.34,Colour Defect,97.36,1.29,Completed,High,High,52.232,2025,3,March,2025-03
P000027,2021-01-12,Morning,NP001,Plastic Bucket,Household Utility,M002,E003,427,371,334,37,6.71,1.42,434.56,37.08,Surface Defect,86.89,9.97,Review,Low,High,52.232,2021,1,January,2021-01
P000028,2025-10-16,Night,NP002,Plastic Mug,Household Utility,M002,E019,1248,1108,1084,24,6.69,0.26,303.16,28.29,None,88.78,2.17,Completed,Low,Medium,47.322,2025,10,October,2025-10
P000029,2022-01-28,Morning,NP004,Storage Box,Storage,M005,E023,630,619,577,42,7.15,0.95,1001.86,9.11,Shape Defect,98.25,6.79,Completed,Medium,Low,22.264,2022,1,January,2022-01
P000030,2023-10-18,Evening,NP006,Kitchen Container,Kitchen Product,M001,E012,1244,1178,1172,6,7.61,0.1,670.36,35.37,Colour Defect,94.69,0.51,Completed,Medium,High,96.056,2023,10,October,2023-10
P000031,2021-02-12,Night,NP004,Storage Box,Storage,M006,E029,829,771,752,19,6.55,1.39,1254.2,2.76,Colour Defect,93.0,2.46,Completed,Medium,Low,22.264,2021,2,February,2021-02
P000032,2023-07-20,Night,NP002,Plastic Mug,Household Utility,M004,E010,1266,1211,1161,50,7.23,0.47,297.54,6.26,None,95.66,4.13,Completed,Medium,Medium,47.322,2023,7,July,2023-07
P000033,2023-11-09,Night,NP001,Plastic Bucket,Household Utility,M001,E027,1094,1078,1006,72,6.48,0.18,1294.31,28.94,Surface Defect,98.54,6.68,Completed,Medium,High,52.232,2023,11,November,2023-11
P000034,2022-02-18,Evening,NP005,Plastic Dustbin,Household Utility,M004,E011,173,169,161,8,7.67,0.73,326.18,12.06,Dimensional Defect,97.69,4.73,Completed,Medium,Low,33.044,2022,2,February,2022-02
P000035,2022-08-17,Morning,NP006,Kitchen Container,Kitchen Product,M001,E028,1016,862,776,86,6.52,0.65,476.56,26.3,Deformed Product,84.84,9.98,Review,Low,High,96.056,2022,8,August,2022-08
P000036,2024-07-12,Evening,NP005,Plastic Dustbin,Household Utility,M005,E016,470,462,446,16,6.29,1.5,869.06,19.63,Shape Defect,98.3,3.46,Completed,Medium,Low,33.044,2024,7,July,2024-07
P000037,2021-11-14,Morning,NP006,Kitchen Container,Kitchen Product,M003,E028,743,620,575,45,7.94,0.9,326.26,37.97,None,83.45,7.26,Completed,Low,High,96.056,2021,11,November,2021-11
P000038,2026-08-10,Evening,NP004,Storage Box,Storage,M004,E008,1666,1442,1397,45,5.67,1.01,2399.75,29.66,Surface Defect,86.55,3.12,Completed,Low,Low,22.264,2026,8,August,2026-08
P000039,2021-03-27,Evening,NP002,Plastic Mug,Household Utility,M003,E025,1267,1228,1167,61,7.24,0.57,324.45,4.43,None,96.92,4.97,Completed,Medium,Medium,47.322,2021,3,March,2021-03
P000040,2025-01-29,Morning,NP005,Plastic Dustbin,Household Utility,M005,E016,1073,931,840,91,8.0,0.6,1803.65,7.41,None,86.77,9.77,Review,Low,Low,33.044,2025,1,January,2025-01
P000041,2026-04-16,Evening,NP005,Plastic Dustbin,Household Utility,M001,E004,1703,1557,1513,44,5.9,0.4,3175.56,22.0,Dimensional Defect,91.43,2.83,Completed,Medium,Low,33.044,2026,4,April,2026-04
P000042,2023-11-05,Morning,NP002,Plastic Mug,Household Utility,M004,E021,1567,1474,1428,46,7.45,0.01,361.27,15.52,Surface Defect,94.07,3.12,Completed,Medium,Medium,47.322,2023,11,November,2023-11
P000043,2021-06-21,Morning,NP006,Kitchen Container,Kitchen Product,M006,E015,1717,1532,1464,68,6.34,0.76,834.99,14.78,Colour Defect,89.23,4.44,Completed,Low,High,96.056,2021,6,June,2021-06
P000044,2026-05-23,Evening,NP001,Plastic Bucket,Household Utility,M004,E007,735,656,632,24,5.87,0.95,793.56,7.16,Deformed Product,89.25,3.66,Completed,Low,High,52.232,2026,5,May,2026-05
P000045,2026-06-08,Night,NP003,Plastic Chair,Furniture,M002,E007,1292,1126,1091,35,7.89,1.12,3129.66,22.14,None,87.15,3.11,Completed,Low,Medium,46.592,2026,6,June,2026-06
P000046,2025-05-25,Morning,NP001,Plastic Bucket,Household Utility,M002,E014,1071,1103,1073,30,7.95,0.92,1331.63,14.6,Colour Defect,102.99,2.72,Completed,High,High,52.232,2025,5,May,2025-05
P000047,2025-01-20,Evening,NP006,Kitchen Container,Kitchen Product,M004,E008,175,156,148,8,7.24,0.85,89.51,34.55,Surface Defect,89.14,5.13,Completed,Low,High,96.056,2025,1,January,2025-01
P000048,2024-01-28,Night,NP001,Plastic Bucket,Household Utility,M001,E007,1658,1619,1490,129,6.91,1.52,2191.15,7.52,Dimensional Defect,97.65,7.97,Completed,Low,High,52.232,2024,1,January,2024-01
P000049,2025-11-15,Evening,NP002,Plastic Mug,Household Utility,M003,E021,479,472,427,45,7.17,0.78,123.26,5.72,Dimensional Defect,98.54,9.53,Review,Low,Medium,47.322,2025,11,November,2025-11
P000050,2021-10-17,Morning,NP003,Plastic Chair,Furniture,M006,E002,1653,1483,1393,90,7.76,0.99,4015.76,15.35,None,89.72,6.07,Completed,Low,Medium,46.592,2021,10,October,2021-10
P000051,2023-05-24,Evening,NP002,Plastic Mug,Household Utility,M004,E012,909,861,834,27,5.66,0.78,215.14,2.64,None,94.72,3.14,Completed,Medium,Medium,47.322,2023,5,May,2023-05
P000052,2022-07-09,Morning,NP003,Plastic Chair,Furniture,M006,E021,1454,1407,1390,17,6.64,0.59,4182.82,11.3,Shape Defect,96.77,1.21,Completed,High,Medium,46.592,2022,7,July,2022-07
P000053,2021-10-02,Evening,NP002,Plastic Mug,Household Utility,M003,E026,718,639,632,7,7.38,0.64,158.33,23.55,Dimensional Defect,89.0,1.1,Completed,Low,Medium,47.322,2021,10,October,2021-10
P000054,2026-04-10,Evening,NP005,Plastic Dustbin,Household Utility,M006,E023,1576,1506,1431,75,7.75,0.55,2660.8,39.09,Dimensional Defect,95.56,4.98,Completed,Medium,Low,33.044,2026,4,April,2026-04
P000055,2024-08-19,Evening,NP002,Plastic Mug,Household Utility,M004,E027,859,814,789,25,7.84,0.85,200.39,24.0,Surface Defect,94.76,3.07,Completed,Medium,Medium,47.322,2024,8,August,2024-08
P000056,2022-12-27,Morning,NP005,Plastic Dustbin,Household Utility,M004,E001,1253,1183,1102,81,7.24,0.67,2253.58,23.03,Shape Defect,94.41,6.85,Completed,Medium,Low,33.044,2022,12,December,2022-12
P000057,2026-04-17,Evening,NP002,Plastic Mug,Household Utility,M003,E001,296,291,287,4,6.66,0.68,72.19,11.59,Surface Defect,98.31,1.37,Completed,High,Medium,47.322,2026,4,April,2026-04
P000058,2025-02-20,Morning,NP003,Plastic Chair,Furniture,M006,E023,1789,1748,1656,92,7.15,0.05,5280.76,12.08,None,97.71,5.26,Completed,Medium,Medium,46.592,2025,2,February,2025-02
P000059,2023-03-31,Morning,NP004,Storage Box,Storage,M003,E028,1128,1049,993,56,5.65,1.39,1551.92,26.88,None,93.0,5.34,Completed,Medium,Low,22.264,2023,3,March,2023-03
P000060,2021-03-25,Evening,NP001,Plastic Bucket,Household Utility,M001,E002,1088,1089,1046,43,7.56,1.04,1315.69,6.15,None,100.09,3.95,Completed,Medium,High,52.232,2021,3,March,2021-03
P000061,2025-08-31,Morning,NP006,Kitchen Container,Kitchen Product,M001,E016,1571,1492,1452,40,7.65,0.98,817.91,9.78,Shape Defect,94.97,2.68,Completed,Medium,High,96.056,2025,8,August,2025-08
P000062,2021-02-17,Evening,NP002,Plastic Mug,Household Utility,M005,E005,862,828,815,13,7.84,1.15,209.06,33.05,Colour Defect,96.06,1.57,Completed,High,Medium,47.322,2021,2,February,2021-02
P000063,2021-09-19,Morning,NP004,Storage Box,Storage,M003,E014,1662,1634,1601,33,5.8,0.14,2682.36,32.78,Colour Defect,98.32,2.02,Completed,High,Low,22.264,2021,9,September,2021-09
P000064,2025-03-19,Night,NP003,Plastic Chair,Furniture,M004,E006,1597,1363,1280,83,7.36,0.69,3739.34,3.93,None,85.35,6.09,Completed,Low,Medium,46.592,2025,3,March,2025-03
P000065,2021-01-07,Morning,NP003,Plastic Chair,Furniture,M003,E023,894,874,842,32,6.78,0.58,2492.72,25.51,Shape Defect,97.76,3.66,Completed,Medium,Medium,46.592,2021,1,January,2021-01
P000066,2021-07-08,Evening,NP001,Plastic Bucket,Household Utility,M004,E024,469,457,438,19,7.79,0.07,557.47,2.73,Surface Defect,97.44,4.16,Completed,Medium,High,52.232,2021,7,July,2021-07
P000067,2022-01-24,Night,NP006,Kitchen Container,Kitchen Product,M004,E024,1568,1451,1317,134,5.6,0.08,802.83,5.74,Surface Defect,92.54,9.24,Review,Low,High,96.056,2022,1,January,2022-01
P000068,2022-09-11,Evening,NP005,Plastic Dustbin,Household Utility,M004,E029,1218,1066,1035,31,5.68,0.38,2064.22,18.89,Colour Defect,87.52,2.91,Completed,Low,Low,33.044,2022,9,September,2022-09
P000069,2023-03-07,Evening,NP003,Plastic Chair,Furniture,M005,E029,163,159,151,8,5.81,0.2,433.47,11.09,Crack,97.55,5.03,Completed,Medium,Medium,46.592,2023,3,March,2023-03
P000070,2022-12-06,Evening,NP002,Plastic Mug,Household Utility,M002,E030,855,832,775,57,5.74,0.54,205.62,6.48,None,97.31,6.85,Completed,Medium,Medium,47.322,2022,12,December,2022-12
P000071,2025-12-02,Evening,NP003,Plastic Chair,Furniture,M006,E002,1602,1366,1325,41,6.3,1.56,3988.1,3.94,None,85.27,3.0,Completed,Low,Medium,46.592,2025,12,December,2025-12
P000072,2023-06-18,Night,NP004,Storage Box,Storage,M002,E009,892,788,742,46,6.46,1.09,1281.65,26.32,None,88.34,5.84,Completed,Low,Low,22.264,2023,6,June,2023-06
P000073,2021-09-30,Night,NP001,Plastic Bucket,Household Utility,M005,E012,947,975,959,16,7.15,0.39,1157.79,3.41,Shape Defect,102.96,1.64,Completed,High,High,52.232,2021,9,September,2021-09
P000074,2021-06-05,Night,NP004,Storage Box,Storage,M004,E027,917,831,820,11,5.85,0.45,1271.92,13.97,Deformed Product,90.62,1.32,Completed,Medium,Low,22.264,2021,6,June,2021-06
P000075,2026-08-01,Evening,NP001,Plastic Bucket,Household Utility,M002,E005,903,893,809,84,6.62,1.45,1055.01,21.11,Dimensional Defect,98.89,9.41,Review,Low,High,52.232,2026,8,August,2026-08
P000076,2024-06-28,Evening,NP005,Plastic Dustbin,Household Utility,M003,E003,1163,1051,1016,35,6.08,0.74,2084.37,27.23,None,90.37,3.33,Completed,Medium,Low,33.044,2024,6,June,2024-06
P000077,2023-11-25,Morning,NP002,Plastic Mug,Household Utility,M006,E016,340,326,312,14,5.99,0.99,82.13,28.02,None,95.88,4.29,Completed,Medium,Medium,47.322,2023,11,November,2023-11
P000078,2026-07-16,Evening,NP006,Kitchen Container,Kitchen Product,M001,E014,324,330,314,16,7.86,1.2,180.0,10.42,Surface Defect,101.85,4.85,Completed,Medium,High,96.056,2026,7,July,2026-07
P000079,2022-01-16,Evening,NP005,Plastic Dustbin,Household Utility,M002,E025,837,745,724,21,6.13,0.7,1333.14,5.73,None,89.01,2.82,Completed,Low,Low,33.044,2022,1,January,2022-01
P000080,2024-06-16,Morning,NP006,Kitchen Container,Kitchen Product,M005,E021,1283,1252,1243,9,5.97,0.86,672.81,29.93,Colour Defect,97.58,0.72,Completed,High,High,96.056,2024,6,June,2024-06
P000081,2025-04-17,Night,NP003,Plastic Chair,Furniture,M004,E022,1682,1597,1504,93,6.63,0.64,4565.62,8.43,Colour Defect,94.95,5.82,Completed,Medium,Medium,46.592,2025,4,April,2025-04
P000082,2024-10-04,Night,NP004,Storage Box,Storage,M002,E022,529,528,514,14,6.13,1.22,823.55,13.08,None,99.81,2.65,Completed,High,Low,22.264,2024,10,October,2024-10
P000083,2026-04-16,Night,NP005,Plastic Dustbin,Household Utility,M004,E030,1153,1131,1088,43,6.2,0.85,2277.77,4.81,Surface Defect,98.09,3.8,Completed,Medium,Low,33.044,2026,4,April,2026-04
P000084,2026-03-04,Morning,NP003,Plastic Chair,Furniture,M003,E019,401,413,396,17,7.4,1.55,1113.06,6.54,Shape Defect,102.99,4.12,Completed,Medium,Medium,46.592,2026,3,March,2026-03
P000085,2022-09-13,Night,NP003,Plastic Chair,Furniture,M006,E001,1553,1600,1533,67,6.04,0.74,4514.63,15.32,Crack,103.03,4.19,Completed,Medium,Medium,46.592,2022,9,September,2022-09
P000086,2025-11-26,Evening,NP001,Plastic Bucket,Household Utility,M004,E025,1251,1202,1174,28,6.52,0.04,1401.28,1.85,Surface Defect,96.08,2.33,Completed,High,High,52.232,2025,11,November,2025-11
P000087,2023-08-21,Morning,NP003,Plastic Chair,Furniture,M003,E020,1110,1084,1044,40,7.82,0.84,2830.61,7.33,Shape Defect,97.66,3.69,Completed,Medium,Medium,46.592,2023,8,August,2023-08
P000088,2021-03-21,Morning,NP006,Kitchen Container,Kitchen Product,M001,E013,1208,1218,1192,26,6.69,1.52,671.36,31.78,Shape Defect,100.83,2.13,Completed,High,High,96.056,2021,3,March,2021-03
P000089,2026-05-04,Morning,NP003,Plastic Chair,Furniture,M005,E001,1379,1345,1263,82,7.68,0.02,3703.59,32.78,Surface Defect,97.53,6.1,Completed,Medium,Medium,46.592,2026,5,May,2026-05
P000090,2022-03-22,Morning,NP003,Plastic Chair,Furniture,M002,E013,1443,1245,1223,22,7.57,0.39,3509.61,30.24,Crack,86.28,1.77,Completed,Low,Medium,46.592,2022,3,March,2022-03
P000091,2026-02-17,Morning,NP005,Plastic Dustbin,Household Utility,M001,E013,892,887,860,27,7.15,1.41,1616.9,17.08,Surface Defect,99.44,3.04,Completed,Medium,Low,33.044,2026,2,February,2026-02
P000092,2023-04-18,Morning,NP001,Plastic Bucket,Household Utility,M001,E030,673,609,558,51,5.52,1.26,778.86,24.79,Surface Defect,90.49,8.37,Review,Low,High,52.232,2023,4,April,2023-04
P000093,2023-10-24,Night,NP002,Plastic Mug,Household Utility,M001,E004,1282,1306,1282,24,7.08,0.15,316.65,35.94,Shape Defect,101.87,1.84,Completed,High,Medium,47.322,2023,10,October,2023-10
P000094,2023-03-11,Morning,NP002,Plastic Mug,Household Utility,M003,E029,492,475,465,10,7.29,0.43,122.28,2.22,Shape Defect,96.54,2.11,Completed,High,Medium,47.322,2023,3,March,2023-03
P000095,2026-07-04,Morning,NP003,Plastic Chair,Furniture,M006,E015,1361,1122,1064,58,7.04,0.57,3068.78,35.32,Shape Defect,82.44,5.17,Completed,Low,Medium,46.592,2026,7,July,2026-07
P000096,2021-12-27,Evening,NP003,Plastic Chair,Furniture,M002,E011,1316,1132,1026,106,5.65,0.84,3089.87,36.18,Surface Defect,86.02,9.36,Review,Low,Medium,46.592,2021,12,December,2021-12
P000097,2026-01-20,Night,NP006,Kitchen Container,Kitchen Product,M001,E017,342,340,330,10,7.71,0.01,179.94,2.44,Shape Defect,99.42,2.94,Completed,High,High,96.056,2026,1,January,2026-01
P000098,2025-06-14,Evening,NP002,Plastic Mug,Household Utility,M005,E012,1033,1016,957,59,6.06,1.3,235.55,7.41,Surface Defect,98.35,5.81,Completed,Medium,Medium,47.322,2025,6,June,2025-06
P000099,2021-09-26,Evening,NP002,Plastic Mug,Household Utility,M004,E014,1796,1732,1700,32,7.17,0.08,436.82,20.29,None,96.44,1.85,Completed,High,Medium,47.322,2021,9,September,2021-09
P000100,2021-11-02,Evening,NP001,Plastic Bucket,Household Utility,M005,E029,704,664,656,8,6.76,0.27,778.6,30.41,Dimensional Defect,94.32,1.2,Completed,Medium,High,52.232,2021,11,November,2021-11
P000101,2024-09-25,Morning,NP002,Plastic Mug,Household Utility,M003,E001,650,550,534,16,5.76,1.31,128.79,6.95,None,84.62,2.91,Completed,Low,Medium,47.322,2024,9,September,2024-09
P000102,2025-07-24,Evening,NP003,Plastic Chair,Furniture,M004,E019,1211,1127,1055,72,6.21,0.66,3139.12,25.68,Colour Defect,93.06,6.39,Completed,Medium,Medium,46.592,2025,7,July,2025-07
P000103,2024-03-01,Evening,NP003,Plastic Chair,Furniture,M004,E003,420,388,359,29,5.82,1.36,1086.9,28.47,Shape Defect,92.38,7.47,Completed,Low,Medium,46.592,2024,3,March,2024-03
P000104,2024-08-12,Morning,NP005,Plastic Dustbin,Household Utility,M001,E025,1186,1056,1025,31,7.59,1.17,2010.67,30.33,None,89.04,2.94,Completed,Low,Low,33.044,2024,8,August,2024-08
P000105,2023-05-27,Night,NP002,Plastic Mug,Household Utility,M003,E012,1265,1147,1131,16,5.87,0.26,294.28,2.22,Crack,90.67,1.39,Completed,Medium,Medium,47.322,2023,5,May,2023-05
P000106,2021-10-31,Evening,NP005,Plastic Dustbin,Household Utility,M002,E021,1762,1755,1699,56,7.07,0.7,3321.13,4.53,Shape Defect,99.6,3.19,Completed,Medium,Low,33.044,2021,10,October,2021-10
P000107,2024-01-29,Evening,NP004,Storage Box,Storage,M003,E008,1031,905,864,41,7.29,1.23,1386.46,12.17,Crack,87.78,4.53,Completed,Low,Low,22.264,2024,1,January,2024-01
P000108,2025-10-27,Morning,NP001,Plastic Bucket,Household Utility,M004,E011,1183,1093,1064,29,5.66,0.39,1339.64,16.07,Dimensional Defect,92.39,2.65,Completed,Medium,High,52.232,2025,10,October,2025-10
P000109,2023-01-11,Evening,NP004,Storage Box,Storage,M002,E025,1393,1288,1222,66,5.88,0.02,2168.82,9.86,None,92.46,5.12,Completed,Medium,Low,22.264,2023,1,January,2023-01
P000110,2024-06-02,Night,NP002,Plastic Mug,Household Utility,M003,E019,778,711,665,46,7.18,1.16,180.12,15.24,Crack,91.39,6.47,Completed,Medium,Medium,47.322,2024,6,June,2024-06
P000111,2022-05-15,Morning,NP005,Plastic Dustbin,Household Utility,M001,E012,535,526,504,22,7.05,0.92,995.13,27.69,Shape Defect,98.32,4.18,Completed,Medium,Low,33.044,2022,5,May,2022-05
P000112,2023-03-08,Evening,NP006,Kitchen Container,Kitchen Product,M002,E012,1464,1419,1404,15,5.53,0.69,774.0,16.4,Surface Defect,96.93,1.06,Completed,High,High,96.056,2023,3,March,2023-03
P000113,2023-01-10,Morning,NP004,Storage Box,Storage,M003,E020,519,471,419,52,6.2,0.91,732.66,32.4,Dimensional Defect,90.75,11.04,Review,Low,Low,22.264,2023,1,January,2023-01
P000114,2022-10-13,Evening,NP006,Kitchen Container,Kitchen Product,M001,E002,392,382,336,46,5.98,0.35,214.59,13.72,None,97.45,12.04,Review,Low,High,96.056,2022,10,October,2022-10
P000115,2022-12-15,Evening,NP003,Plastic Chair,Furniture,M003,E017,204,179,174,5,6.08,0.57,503.75,7.3,Colour Defect,87.75,2.79,Completed,Low,Medium,46.592,2022,12,December,2022-12
P000116,2021-09-23,Morning,NP002,Plastic Mug,Household Utility,M003,E006,1222,1204,1116,88,7.02,1.24,302.81,28.93,Dimensional Defect,98.53,7.31,Completed,Low,Medium,47.322,2021,9,September,2021-09
P000117,2021-03-13,Morning,NP001,Plastic Bucket,Household Utility,M002,E006,813,775,718,57,6.42,0.61,901.89,25.47,None,95.33,7.35,Completed,Low,High,52.232,2021,3,March,2021-03
P000118,2021-01-25,Morning,NP005,Plastic Dustbin,Household Utility,M001,E006,1184,1146,1075,71,7.91,0.16,2173.68,16.58,None,96.79,6.2,Completed,Medium,Low,33.044,2021,1,January,2021-01
P000119,2021-02-26,Evening,NP006,Kitchen Container,Kitchen Product,M001,E018,199,185,180,5,7.23,1.51,99.55,7.55,Surface Defect,92.96,2.7,Completed,Medium,High,96.056,2021,2,February,2021-02
P000120,2022-09-11,Evening,NP001,Plastic Bucket,Household Utility,M003,E003,1237,1125,1026,99,5.89,0.69,1412.17,5.75,Surface Defect,90.95,8.8,Review,Low,High,52.232,2022,9,September,2022-09
P000121,2023-05-25,Evening,NP002,Plastic Mug,Household Utility,M003,E002,1788,1735,1676,59,6.64,1.42,436.55,35.11,Crack,97.04,3.4,Completed,Medium,Medium,47.322,2023,5,May,2023-05
P000122,2023-05-15,Evening,NP006,Kitchen Container,Kitchen Product,M006,E028,1292,1175,1099,76,7.7,0.09,656.42,8.59,Dimensional Defect,90.94,6.47,Completed,Medium,High,96.056,2023,5,May,2023-05
P000123,2024-05-06,Morning,NP002,Plastic Mug,Household Utility,M003,E015,436,383,357,26,6.87,1.51,89.34,14.41,Crack,87.84,6.79,Completed,Low,Medium,47.322,2024,5,May,2024-05
P000124,2021-09-05,Evening,NP002,Plastic Mug,Household Utility,M005,E007,438,388,343,45,6.04,0.98,103.4,37.54,None,88.58,11.6,Review,Low,Medium,47.322,2021,9,September,2021-09
P000125,2023-02-03,Morning,NP004,Storage Box,Storage,M005,E024,1067,1018,1013,5,7.5,0.75,1689.49,22.37,None,95.41,0.49,Completed,High,Low,22.264,2023,2,February,2023-02
P000126,2023-03-13,Night,NP003,Plastic Chair,Furniture,M001,E014,870,860,779,81,6.97,1.42,2474.28,7.03,Surface Defect,98.85,9.42,Review,Low,Medium,46.592,2023,3,March,2023-03
P000127,2023-03-29,Evening,NP005,Plastic Dustbin,Household Utility,M001,E020,1437,1387,1294,93,6.23,0.51,2779.21,25.7,Colour Defect,96.52,6.71,Completed,Medium,Low,33.044,2023,3,March,2023-03
P000128,2021-01-05,Morning,NP003,Plastic Chair,Furniture,M002,E009,1255,1241,1199,42,7.13,0.19,3519.18,24.54,Colour Defect,98.88,3.38,Completed,Medium,Medium,46.592,2021,1,January,2021-01
P000129,2022-12-02,Morning,NP004,Storage Box,Storage,M002,E026,1075,992,911,81,6.85,1.37,1724.33,30.45,None,92.28,8.17,Review,Low,Low,22.264,2022,12,December,2022-12
