Production_ID,Production_Date,Shift,Product_ID,Product_Name,Product_Category,Machine_ID,Operator_ID,Planned_Qty,Produced_Qty,Good_Qty,Rejected_Qty,Production_Hours,Downtime_Hours,Raw_Material_Used_Kg,Wastage_Kg,Defect_Type,Production_Efficiency_%,Defect_Rate_%,Production_Status,Batch_Quality,Product_Quality_Level,Product_Quality_Score
P000017,13-03-2025,Evening,NP001,Plastic Bucket,Household Utility,M004,E024,871,853,777,76,5.51,0.01,954.74,7.82,Shape Defect,97.93,8.91,Review,Low,High,52.232
P000018,23-12-2025,Morning,NP002,Plastic Mug,Household Utility,M001,E013,1170,1165,1123,42,6.58,0.76,275.11,19.31,Colour Defect,99.57,3.61,Completed,Medium,Medium,47.322
P000019,28-11-2021,Evening,NP006,Kitchen Container,Kitchen Product,M001,E001,1241,1261,1232,29,7.18,0.27,728.99,25.25,None,101.61,2.3,Completed,High,High,96.056
P000020,07-05-2023,Morning,NP005,Plastic Dustbin,Household Utility,M006,E020,471,401,388,13,7.31,0.8,793.54,15.11,Surface Defect,85.14,3.24,Completed,Low,Low,33.044
P000021,25-10-2025,Morning,NP002,Plastic Mug,Household Utility,M004,E001,648,666,624,42,6.07,0.79,167.82,35.7,Dimensional Defect,102.78,6.31,Completed,Medium,Medium,47.322
P000022,21-09-2021,Morning,NP006,Kitchen Container,Kitchen Product,M001,E006,834,737,726,11,7.69,1.24,420.57,29.81,None,88.37,1.49,Completed,Low,High,96.056
P000023,05-12-2024,Night,NP002,Plastic Mug,Household Utility,M002,E005,468,420,414,6,7.31,1.55,103.45,30.82,Shape Defect,89.74,1.43,Completed,Low,Medium,47.322
P000024,15-03-2024,Night,NP006,Kitchen Container,Kitchen Product,M005,E012,431,441,408,33,5.84,0.36,248.52,16.78,Surface Defect,102.32,7.48,Completed,Low,High,96.056
P000025,04-06-2025,Morning,NP001,Plastic Bucket,Household Utility,M003,E015,683,689,679,10,5.55,1.53,806.54,38.3,Surface Defect,100.88,1.45,Completed,High,High,52.232
P000026,21-03-2025,Morning,NP001,Plastic Bucket,Household Utility,M005,E018,1516,1476,1457,19,5.68,0.55,1808.66,15.34,Colour Defect,97.36,1.29,Completed,High,High,52.232
P000027,12-01-2021,Morning,NP001,Plastic Bucket,Household Utility,M002,E003,427,371,334,37,6.71,1.42,434.56,37.08,Surface Defect,86.89,9.97,Review,Low,High,52.232
P000028,16-10-2025,Night,NP002,Plastic Mug,Household Utility,M002,E019,1248,1108,1084,24,6.69,0.26,303.16,28.29,None,88.78,2.17,Completed,Low,Medium,47.322
P000029,28-01-2022,Morning,NP004,Storage Box,Storage,M005,E023,630,619,577,42,7.15,0.95,1001.86,9.11,Shape Defect,98.25,6.79,Completed,Medium,Low,22.264
P000030,18-10-2023,Evening,NP006,Kitchen Container,Kitchen Product,M001,E012,1244,1178,1172,6,7.61,0.1,670.36,35.37,Colour Defect,94.69,0.51,Completed,Medium,High,96.056
P000031,12-02-2021,Night,NP004,Storage Box,Storage,M006,E029,829,771,752,19,6.55,1.39,1254.2,2.76,Colour Defect,93,2.46,Completed,Medium,Low,22.264
P000032,20-07-2023,Night,NP002,Plastic Mug,Household Utility,M004,E010,1266,1211,1161,50,7.23,0.47,297.54,6.26,None,95.66,4.13,Completed,Medium,Medium,47.322
P000033,09-11-2023,Night,NP001,Plastic Bucket,Household Utility,M001,E027,1094,1078,1006,72,6.48,0.18,1294.31,28.94,Surface Defect,98.54,6.68,Completed,Medium,High,52.232
P000034,18-02-2022,Evening,NP005,Plastic Dustbin,Household Utility,M004,E011,173,169,161,8,7.67,0.73,326.18,12.06,Dimensional Defect,97.69,4.73,Completed,Medium,Low,33.044
P000035,17-08-2022,Morning,NP006,Kitchen Container,Kitchen Product,M001,E028,1016,862,776,86,6.52,0.65,476.56,26.3,Deformed Product,84.84,9.98,Review,Low,High,96.056
P000036,12-07-2024,Evening,NP005,Plastic Dustbin,Household Utility,M005,E016,470,462,446,16,6.29,1.5,869.06,19.63,Shape Defect,98.3,3.46,Completed,Medium,Low,33.044
P000037,14-11-2021,Morning,NP006,Kitchen Container,Kitchen Product,M003,E028,743,620,575,45,7.94,0.9,326.26,37.97,None,83.45,7.26,Completed,Low,High,96.056
P000038,10-08-2026,Evening,NP004,Storage Box,Storage,M004,E008,1666,1442,1397,45,5.67,1.01,2399.75,29.66,Surface Defect,86.55,3.12,Completed,Low,Low,22.264
P000039,27-03-2021,Evening,NP002,Plastic Mug,Household Utility,M003,E025,1267,1228,1167,61,7.24,0.57,324.45,4.43,None,96.92,4.97,Completed,Medium,Medium,47.322
P000040,29-01-2025,Morning,NP005,Plastic Dustbin,Household Utility,M005,E016,1073,931,840,91,8,0.6,1803.65,7.41,None,86.77,9.77,Review,Low,Low,33.044
P000041,16-04-2026,Evening,NP005,Plastic Dustbin,Household Utility,M001,E004,1703,1557,1513,44,5.9,0.4,3175.56,22,Dimensional Defect,91.43,2.83,Completed,Medium,Low,33.044
P000042,05-11-2023,Morning,NP002,Plastic Mug,Household Utility,M004,E021,1567,1474,1428,46,7.45,0.01,361.27,15.52,Surface Defect,94.07,3.12,Completed,Medium,Medium,47.322
P000043,21-06-2021,Morning,NP006,Kitchen Container,Kitchen Product,M006,E015,1717,1532,1464,68,6.34,0.76,834.99,14.78,Colour Defect,89.23,4.44,Completed,Low,High,96.056
P000044,23-05-2026,Evening,NP001,Plastic Bucket,Household Utility,M004,E007,735,656,632,24,5.87,0.95,793.56,7.16,Deformed Product,89.25,3.66,Completed,Low,High,52.232
P000045,08-06-2026,Night,NP003,Plastic Chair,Furniture,M002,E007,1292,1126,1091,35,7.89,1.12,3129.66,22.14,None,87.15,3.11,Completed,Low,Medium,46.592
P000046,25-05-2025,Morning,NP001,Plastic Bucket,Household Utility,M002,E014,1071,1103,1073,30,7.95,0.92,1331.63,14.6,Colour Defect,102.99,2.72,Completed,High,High,52.232
P000047,20-01-2025,Evening,NP006,Kitchen Container,Kitchen Product,M004,E008,175,156,148,8,7.24,0.85,89.51,34.55,Surface Defect,89.14,5.13,Completed,Low,High,96.056
P000048,28-01-2024,Night,NP001,Plastic Bucket,Household Utility,M001,E007,1658,1619,1490,129,6.91,1.52,2191.15,7.52,Dimensional Defect,97.65,7.97,Completed,Low,High,52.232
P000049,15-11-2025,Evening,NP002,Plastic Mug,Household Utility,M003,E021,479,472,427,45,7.17,0.78,123.26,5.72,Dimensional Defect,98.54,9.53,Review,Low,Medium,47.322
P000050,17-10-2021,Morning,NP003,Plastic Chair,Furniture,M006,E002,1653,1483,1393,90,7.76,0.99,4015.76,15.35,None,89.72,6.07,Completed,Low,Medium,46.592
P000051,24-05-2023,Evening,NP002,Plastic Mug,Household Utility,M004,E012,909,861,834,27,5.66,0.78,215.14,2.64,None,94.72,3.14,Completed,Medium,Medium,47.322
P000052,09-07-2022,Morning,NP003,Plastic Chair,Furniture,M006,E021,1454,1407,1390,17,6.64,0.59,4182.82,11.3,Shape Defect,96.77,1.21,Completed,High,Medium,46.592
P000053,02-10-2021,Evening,NP002,Plastic Mug,Household Utility,M003,E026,718,639,632,7,7.38,0.64,158.33,23.55,Dimensional Defect,89,1.1,Completed,Low,Medium,47.322
P000054,10-04-2026,Evening,NP005,Plastic Dustbin,Household Utility,M006,E023,1576,1506,1431,75,7.75,0.55,2660.8,39.09,Dimensional Defect,95.56,4.98,Completed,Medium,Low,33.044
P000055,19-08-2024,Evening,NP002,Plastic Mug,Household Utility,M004,E027,859,814,789,25,7.84,0.85,200.39,24,Surface Defect,94.76,3.07,Completed,Medium,Medium,47.322
P000056,27-12-2022,Morning,NP005,Plastic Dustbin,Household Utility,M004,E001,1253,1183,1102,81,7.24,0.67,2253.58,23.03,Shape Defect,94.41,6.85,Completed,Medium,Low,33.044
P000057,17-04-2026,Evening,NP002,Plastic Mug,Household Utility,M003,E001,296,291,287,4,6.66,0.68,72.19,11.59,Surface Defect,98.31,1.37,Completed,High,Medium,47.322
P000058,20-02-2025,Morning,NP003,Plastic Chair,Furniture,M006,E023,1789,1748,1656,92,7.15,0.05,5280.76,12.08,None,97.71,5.26,Completed,Medium,Medium,46.592
P000059,31-03-2023,Morning,NP004,Storage Box,Storage,M003,E028,1128,1049,993,56,5.65,1.39,1551.92,26.88,None,93,5.34,Completed,Medium,Low,22.264
P000060,25-03-2021,Evening,NP001,Plastic Bucket,Household Utility,M001,E002,1088,1089,1046,43,7.56,1.04,1315.69,6.15,None,100.09,3.95,Completed,Medium,High,52.232
P000061,31-08-2025,Morning,NP006,Kitchen Container,Kitchen Product,M001,E016,1571,1492,1452,40,7.65,0.98,817.91,9.78,Shape Defect,94.97,2.68,Completed,Medium,High,96.056
P000062,17-02-2021,Evening,NP002,Plastic Mug,Household Utility,M005,E005,862,828,815,13,7.84,1.15,209.06,33.05,Colour Defect,96.06,1.57,Completed,High,Medium,47.322
P000063,19-09-2021,Morning,NP004,Storage Box,Storage,M003,E014,1662,1634,1601,33,5.8,0.14,2682.36,32.78,Colour Defect,98.32,2.02,Completed,High,Low,22.264
P000064,19-03-2025,Night,NP003,Plastic Chair,Furniture,M004,E006,1597,1363,1280,83,7.36,0.69,3739.34,3.93,None,85.35,6.09,Completed,Low,Medium,46.592
P000065,07-01-2021,Morning,NP003,Plastic Chair,Furniture,M003,E023,894,874,842,32,6.78,0.58,2492.72,25.51,Shape Defect,97.76,3.66,Completed,Medium,Medium,46.592
P000066,08-07-2021,Evening,NP001,Plastic Bucket,Household Utility,M004,E024,469,457,438,19,7.79,0.07,557.47,2.73,Surface Defect,97.44,4.16,Completed,Medium,High,52.232
P000067,24-01-2022,Night,NP006,Kitchen Container,Kitchen Product,M004,E024,1568,1451,1317,134,5.6,0.08,802.83,5.74,Surface Defect,92.54,9.24,Review,Low,High,96.056
P000068,11-09-2022,Evening,NP005,Plastic Dustbin,Household Utility,M004,E029,1218,1066,1035,31,5.68,0.38,2064.22,18.89,Colour Defect,87.52,2.91,Completed,Low,Low,33.044
P000069,07-03-2023,Evening,NP003,Plastic Chair,Furniture,M005,E029,163,159,151,8,5.81,0.2,433.47,11.09,Crack,97.55,5.03,Completed,Medium,Medium,46.592
P000070,06-12-2022,Evening,NP002,Plastic Mug,Household Utility,M002,E030,855,832,775,57,5.74,0.54,205.62,6.48,None,97.31,6.85,Completed,Medium,Medium,47.322
P000071,02-12-2025,Evening,NP003,Plastic Chair,Furniture,M006,E002,1602,1366,1325,41,6.3,1.56,3988.1,3.94,None,85.27,3,Completed,Low,Medium,46.592
P000072,18-06-2023,Night,NP004,Storage Box,Storage,M002,E009,892,788,742,46,6.46,1.09,1281.65,26.32,None,88.34,5.84,Completed,Low,Low,22.264
P000073,30-09-2021,Night,NP001,Plastic Bucket,Household Utility,M005,E012,947,975,959,16,7.15,0.39,1157.79,3.41,Shape Defect,102.96,1.64,Completed,High,High,52.232
P000074,05-06-2021,Night,NP004,Storage Box,Storage,M004,E027,917,831,820,11,5.85,0.45,1271.92,13.97,Deformed Product,90.62,1.32,Completed,Medium,Low,22.264
P000075,01-08-2026,Evening,NP001,Plastic Bucket,Household Utility,M002,E005,903,893,809,84,6.62,1.45,1055.01,21.11,Dimensional Defect,98.89,9.41,Review,Low,High,52.232
P000076,28-06-2024,Evening,NP005,Plastic Dustbin,Household Utility,M003,E003,1163,1051,1016,35,6.08,0.74,2084.37,27.23,None,90.37,3.33,Completed,Medium,Low,33.044
P000077,25-11-2023,Morning,NP002,Plastic Mug,Household Utility,M006,E016,340,326,312,14,5.99,0.99,82.13,28.02,None,95.88,4.29,Completed,Medium,Medium,47.322
P000078,16-07-2026,Evening,NP006,Kitchen Container,Kitchen Product,M001,E014,324,330,314,16,7.86,1.2,180,10.42,Surface Defect,101.85,4.85,Completed,Medium,High,96.056
P000079,16-01-2022,Evening,NP005,Plastic Dustbin,Household Utility,M002,E025,837,745,724,21,6.13,0.7,1333.14,5.73,None,89.01,2.82,Completed,Low,Low,33.044
P000080,16-06-2024,Morning,NP006,Kitchen Container,Kitchen Product,M005,E021,1283,1252,1243,9,5.97,0.86,672.81,29.93,Colour Defect,97.58,0.72,Completed,High,High,96.056
P000081,17-04-2025,Night,NP003,Plastic Chair,Furniture,M004,E022,1682,1597,1504,93,6.63,0.64,4565.62,8.43,Colour Defect,94.95,5.82,Completed,Medium,Medium,46.592
P000082,04-10-2024,Night,NP004,Storage Box,Storage,M002,E022,529,528,514,14,6.13,1.22,823.55,13.08,None,99.81,2.65,Completed,High,Low,22.264
P000083,16-04-2026,Night,NP005,Plastic Dustbin,Household Utility,M004,E030,1153,1131,1088,43,6.2,0.85,2277.77,4.81,Surface Defect,98.09,3.8,Completed,Medium,Low,33.044
P000084,04-03-2026,Morning,NP003,Plastic Chair,Furniture,M003,E019,401,413,396,17,7.4,1.55,1113.06,6.54,Shape Defect,102.99,4.12,Completed,Medium,Medium,46.592
P000085,13-09-2022,Night,NP003,Plastic Chair,Furniture,M006,E001,1553,1600,1533,67,6.04,0.74,4514.63,15.32,Crack,103.03,4.19,Completed,Medium,Medium,46.592
P000086,26-11-2025,Evening,NP001,Plastic Bucket,Household Utility,M004,E025,1251,1202,1174,28,6.52,0.04,1401.28,1.85,Surface Defect,96.08,2.33,Completed,High,High,52.232
P000087,21-08-2023,Morning,NP003,Plastic Chair,Furniture,M003,E020,1110,1084,1044,40,7.82,0.84,2830.61,7.33,Shape Defect,97.66,3.69,Completed,Medium,Medium,46.592
P000088,21-03-2021,Morning,NP006,Kitchen Container,Kitchen Product,M001,E013,1208,1218,1192,26,6.69,1.52,671.36,31.78,Shape Defect,100.83,2.13,Completed,High,High,96.056
P000089,04-05-2026,Morning,NP003,Plastic Chair,Furniture,M005,E001,1379,1345,1263,82,7.68,0.02,3703.59,32.78,Surface Defect,97.53,6.1,Completed,Medium,Medium,46.592
P000090,22-03-2022,Morning,NP003,Plastic Chair,Furniture,M002,E013,1443,1245,1223,22,7.57,0.39,3509.61,30.24,Crack,86.28,1.77,Completed,Low,Medium,46.592
P000091,17-02-2026,Morning,NP005,Plastic Dustbin,Household Utility,M001,E013,892,887,860,27,7.15,1.41,1616.9,17.08,Surface Defect,99.44,3.04,Completed,Medium,Low,33.044
P000092,18-04-2023,Morning,NP001,Plastic Bucket,Household Utility,M001,E030,673,609,558,51,5.52,1.26,778.86,24.79,Surface Defect,90.49,8.37,Review,Low,High,52.232
P000093,24-10-2023,Night,NP002,Plastic Mug,Household Utility,M001,E004,1282,1306,1282,24,7.08,0.15,316.65,35.94,Shape Defect,101.87,1.84,Completed,High,Medium,47.322
P000094,11-03-2023,Morning,NP002,Plastic Mug,Household Utility,M003,E029,492,475,465,10,7.29,0.43,122.28,2.22,Shape Defect,96.54,2.11,Completed,High,Medium,47.322
P000095,04-07-2026,Morning,NP003,Plastic Chair,Furniture,M006,E015,1361,1122,1064,58,7.04,0.57,3068.78,35.32,Shape Defect,82.44,5.17,Completed,Low,Medium,46.592
P000096,27-12-2021,Evening,NP003,Plastic Chair,Furniture,M002,E011,1316,1132,1026,106,5.65,0.84,3089.87,36.18,Surface Defect,86.02,9.36,Review,Low,Medium,46.592
P000097,20-01-2026,Night,NP006,Kitchen Container,Kitchen Product,M001,E017,342,340,330,10,7.71,0.01,179.94,2.44,Shape Defect,99.42,2.94,Completed,High,High,96.056
P000098,14-06-2025,Evening,NP002,Plastic Mug,Household Utility,M005,E012,1033,1016,957,59,6.06,1.3,235.55,7.41,Surface Defect,98.35,5.81,Completed,Medium,Medium,47.322
P000099,26-09-2021,Evening,NP002,Plastic Mug,Household Utility,M004,E014,1796,1732,1700,32,7.17,0.08,436.82,20.29,None,96.44,1.85,Completed,High,Medium,47.322
P000100,02-11-2021,Evening,NP001,Plastic Bucket,Household Utility,M005,E029,704,664,656,8,6.76,0.27,778.6,30.41,Dimensional Defect,94.32,1.2,Completed,Medium,High,52.232
P000101,25-09-2024,Morning,NP002,Plastic Mug,Household Utility,M003,E001,650,550,534,16,5.76,1.31,128.79,6.95,None,84.62,2.91,Completed,Low,Medium,47.322
P000102,24-07-2025,Evening,NP003,Plastic Chair,Furniture,M004,E019,1211,1127,1055,72,6.21,0.66,3139.12,25.68,Colour Defect,93.06,6.39,Completed,Medium,Medium,46.592
P000103,01-03-2024,Evening,NP003,Plastic Chair,Furniture,M004,E003,420,388,359,29,5.82,1.36,1086.9,28.47,Shape Defect,92.38,7.47,Completed,Low,Medium,46.592
P000104,12-08-2024,Morning,NP005,Plastic Dustbin,Household Utility,M001,E025,1186,1056,1025,31,7.59,1.17,2010.67,30.33,None,89.04,2.94,Completed,Low,Low,33.044
P000105,27-05-2023,Night,NP002,Plastic Mug,Household Utility,M003,E012,1265,1147,1131,16,5.87,0.26,294.28,2.22,Crack,90.67,1.39,Completed,Medium,Medium,47.322
P000106,31-10-2021,Evening,NP005,Plastic Dustbin,Household Utility,M002,E021,1762,1755,1699,56,7.07,0.7,3321.13,4.53,Shape Defect,99.6,3.19,Completed,Medium,Low,33.044
P000107,29-01-2024,Evening,NP004,Storage Box,Storage,M003,E008,1031,905,864,41,7.29,1.23,1386.46,12.17,Crack,87.78,4.53,Completed,Low,Low,22.264
P000108,27-10-2025,Morning,NP001,Plastic Bucket,Household Utility,M004,E011,1183,1093,1064,29,5.66,0.39,1339.64,16.07,Dimensional Defect,92.39,2.65,Completed,Medium,High,52.232
P000109,11-01-2023,Evening,NP004,Storage Box,Storage,M002,E025,1393,1288,1222,66,5.88,0.02,2168.82,9.86,None,92.46,5.12,Completed,Medium,Low,22.264
P000110,02-06-2024,Night,NP002,Plastic Mug,Household Utility,M003,E019,778,711,665,46,7.18,1.16,180.12,15.24,Crack,91.39,6.47,Completed,Medium,Medium,47.322
P000111,15-05-2022,Morning,NP005,Plastic Dustbin,Household Utility,M001,E012,535,526,504,22,7.05,0.92,995.13,27.69,Shape Defect,98.32,4.18,Completed,Medium,Low,33.044
P000112,08-03-2023,Evening,NP006,Kitchen Container,Kitchen Product,M002,E012,1464,1419,1404,15,5.53,0.69,774,16.4,Surface Defect,96.93,1.06,Completed,High,High,96.056
P000113,10-01-2023,Morning,NP004,Storage Box,Storage,M003,E020,519,471,419,52,6.2,0.91,732.66,32.4,Dimensional Defect,90.75,11.04,Review,Low,Low,22.264
P000114,13-10-2022,Evening,NP006,Kitchen Container,Kitchen Product,M001,E002,392,382,336,46,5.98,0.35,214.59,13.72,None,97.45,12.04,Review,Low,High,96.056
P000115,15-12-2022,Evening,NP003,Plastic Chair,Furniture,M003,E017,204,179,174,5,6.08,0.57,503.75,7.3,Colour Defect,87.75,2.79,Completed,Low,Medium,46.592
P000116,23-09-2021,Morning,NP002,Plastic Mug,Household Utility,M003,E006,1222,1204,1116,88,7.02,1.24,302.81,28.93,Dimensional Defect,98.53,7.31,Completed,Low,Medium,47.322
P000117,13-03-2021,Morning,NP001,Plastic Bucket,Household Utility,M002,E006,813,775,718,57,6.42,0.61,901.89,25.47,None,95.33,7.35,Completed,Low,High,52.232
P000118,25-01-2021,Morning,NP005,Plastic Dustbin,Household Utility,M001,E006,1184,1146,1075,71,7.91,0.16,2173.68,16.58,None,96.79,6.2,Completed,Medium,Low,33.044
P000119,26-02-2021,Evening,NP006,Kitchen Container,Kitchen Product,M001,E018,199,185,180,5,7.23,1.51,99.55,7.55,Surface Defect,92.96,2.7,Completed,Medium,High,96.056
P000120,11-09-2022,Evening,NP001,Plastic Bucket,Household Utility,M003,E003,1237,1125,1026,99,5.89,0.69,1412.17,5.75,Surface Defect,90.95,8.8,Review,Low,High,52.232
P000121,25-05-2023,Evening,NP002,Plastic Mug,Household Utility,M003,E002,1788,1735,1676,59,6.64,1.42,436.55,35.11,Crack,97.04,3.4,Completed,Medium,Medium,47.322
P000122,15-05-2023,Evening,NP006,Kitchen Container,Kitchen Product,M006,E028,1292,1175,1099,76,7.7,0.09,656.42,8.59,Dimensional Defect,90.94,6.47,Completed,Medium,High,96.056
P000123,06-05-2024,Morning,NP002,Plastic Mug,Household Utility,M003,E015,436,383,357,26,6.87,1.51,89.34,14.41,Crack,87.84,6.79,Completed,Low,Medium,47.322
P000124,05-09-2021,Evening,NP002,Plastic Mug,Household Utility,M005,E007,438,388,343,45,6.04,0.98,103.4,37.54,None,88.58,11.6,Review,Low,Medium,47.322
P000125,03-02-2023,Morning,NP004,Storage Box,Storage,M005,E024,1067,1018,1013,5,7.5,0.75,1689.49,22.37,None,95.41,0.49,Completed,High,Low,22.264
P000126,13-03-2023,Night,NP003,Plastic Chair,Furniture,M001,E014,870,860,779,81,6.97,1.42,2474.28,7.03,Surface Defect,98.85,9.42,Review,Low,Medium,46.592
P000127,29-03-2023,Evening,NP005,Plastic Dustbin,Household Utility,M001,E020,1437,1387,1294,93,6.23,0.51,2779.21,25.7,Colour Defect,96.52,6.71,Completed,Medium,Low,33.044
P000128,05-01-2021,Morning,NP003,Plastic Chair,Furniture,M002,E009,1255,1241,1199,42,7.13,0.19,3519.18,24.54,Colour Defect,98.88,3.38,Completed,Medium,Medium,46.592
P000129,02-12-2022,Morning,NP004,Storage Box,Storage,M002,E026,1075,992,911,81,6.85,1.37,1724.33,30.45,None,92.28,8.17,Review,Low,Low,22.264
P000130,29-10-2024,Morning,NP004,Storage Box,Storage,M002,E020,444,420,411,9,6.23,0.2,632.69,39.69,None,94.59,2.14,Completed,Medium,Low,22.264
P000131,01-04-2022,Morning,NP002,Plastic Mug,Household Utility,M005,E006,1350,1237,1228,9,6.62,0.36,304.99,32.56,Dimensional Defect,91.63,0.73,Completed,Medium,Medium,47.322
P000132,30-08-2026,Evening,NP004,Storage Box,Storage,M001,E024,793,723,658,65,5.6,1.01,1142.93,32.73,Crack,91.17,8.99,Review,Low,Low,22.264
P000133,12-10-2023,Night,NP002,Plastic Mug,Household Utility,M003,E015,541,507,500,7,6.26,1.58,126.68,12.08,Crack,93.72,1.38,Completed,Medium,Medium,47.322
P000134,21-12-2025,Evening,NP001,Plastic Bucket,Household Utility,M003,E027,481,446,425,21,7.54,0.27,470.42,25.78,None,92.72,4.71,Completed,Medium,High,52.232
P000135,11-11-2021,Morning,NP001,Plastic Bucket,Household Utility,M002,E003,345,338,328,10,7.35,1.36,427.51,2.49,Surface Defect,97.97,2.96,Completed,High,High,52.232
P000136,11-08-2024,Morning,NP001,Plastic Bucket,Household Utility,M004,E030,318,302,269,33,6.82,0.79,344.43,3.35,Deformed Product,94.97,10.93,Review,Low,High,52.232
P000137,28-12-2025,Morning,NP006,Kitchen Container,Kitchen Product,M006,E015,1621,1541,1482,59,7.98,0.25,881.98,28.62,Surface Defect,95.06,3.83,Completed,Medium,High,96.056
P000138,10-03-2025,Evening,NP001,Plastic Bucket,Household Utility,M003,E025,434,430,409,21,6.55,1.12,519.05,8.39,Crack,99.08,4.88,Completed,Medium,High,52.232
P000139,22-10-2022,Morning,NP001,Plastic Bucket,Household Utility,M004,E028,166,154,149,5,7.88,0.53,186.61,23.37,Colour Defect,92.77,3.25,Completed,Medium,High,52.232
P000140,04-05-2024,Morning,NP001,Plastic Bucket,Household Utility,M006,E015,1271,1218,1212,6,6.84,0.06,1506.99,20.41,None,95.83,0.49,Completed,High,High,52.232
P000141,08-06-2023,Morning,NP004,Storage Box,Storage,M001,E022,1536,1507,1463,44,7.54,0.19,2345.25,34.49,Colour Defect,98.11,2.92,Completed,High,Low,22.264
P000142,11-04-2024,Morning,NP002,Plastic Mug,Household Utility,M003,E011,842,740,715,25,7.65,0.63,176.33,10.11,Dimensional Defect,87.89,3.38,Completed,Low,Medium,47.322
P000143,26-05-2025,Evening,NP004,Storage Box,Storage,M005,E010,1718,1669,1618,51,7.72,0.85,2728.65,22.54,Colour Defect,97.15,3.06,Completed,Medium,Low,22.264
P000144,10-04-2022,Evening,NP005,Plastic Dustbin,Household Utility,M004,E026,627,577,566,11,7.85,1.21,1005.03,37.78,Crack,92.03,1.91,Completed,Medium,Low,33.044
P000145,16-07-2022,Morning,NP002,Plastic Mug,Household Utility,M006,E009,1675,1655,1631,24,6.25,0.62,408.55,28.92,Surface Defect,98.81,1.45,Completed,High,Medium,47.322
P000146,12-10-2025,Morning,NP005,Plastic Dustbin,Household Utility,M003,E022,853,831,765,66,5.74,1.04,1587.37,27.71,Surface Defect,97.42,7.94,Completed,Low,Low,33.044
P000147,28-05-2025,Morning,NP006,Kitchen Container,Kitchen Product,M006,E010,150,140,138,2,6.67,1.4,75.9,16.83,Colour Defect,93.33,1.43,Completed,Medium,High,96.056
